,RS/RS,NOTHING/RS,OUT/RS,ALL/RS,IN/OUT,RS/TOP,BOTTOM/RS,ALL/ALL,BOTTOM/TOP,NOTHING/NOTHING,ALL/NOTHING,IN/RS,NOTHING/OUT,LEFT/RS,LEFT/NOTHING,NOTHING/TOP,RIGHT/RS,LEFT/RIGHT
RS/RS,1285.0,41.0,10.0,109.0,2.0,13.0,23.0,15.0,36.0,2.0,7.0,1.0,0.0,26.0,0.0,0.0,10.0,54.0
NOTHING/RS,36.0,123.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,5.0,46.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
OUT/RS,9.0,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL/RS,118.0,12.0,1.0,50.0,0.0,0.0,0.0,6.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
IN/OUT,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RS/TOP,13.0,1.0,0.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOTTOM/RS,20.0,0.0,0.0,0.0,0.0,7.0,9.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL/ALL,16.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOTTOM/TOP,33.0,0.0,0.0,0.0,0.0,5.0,8.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOTHING/NOTHING,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL/NOTHING,7.0,46.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
IN/RS,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOTHING/OUT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEFT/RS,23.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,4.0,10.0
LEFT/NOTHING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOTHING/TOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIGHT/RS,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,6.0
LEFT/RIGHT,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,66.0
