,RS/RS,NOTHING/RS,OUT/RS,ALL/RS,IN/OUT,RS/TOP,BOTTOM/RS,ALL/ALL,BOTTOM/TOP,NOTHING/NOTHING,ALL/NOTHING,IN/RS,NOTHING/OUT,LEFT/RS,LEFT/NOTHING,NOTHING/TOP,RIGHT/RS,LEFT/RIGHT
RS/RS,0.7864,0.0251,0.0061,0.0667,0.0012,0.008,0.0141,0.0092,0.022,0.0012,0.0043,0.0006,0.0,0.0159,0.0,0.0,0.0061,0.033
NOTHING/RS,0.1614,0.5516,0.0,0.0448,0.0,0.0,0.0,0.0,0.0045,0.0224,0.2063,0.0,0.0045,0.0,0.0,0.0045,0.0,0.0
OUT/RS,0.4091,0.0,0.5,0.0455,0.0455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL/RS,0.593,0.0603,0.005,0.2513,0.0,0.0,0.0,0.0302,0.0,0.0,0.0553,0.0,0.0,0.005,0.0,0.0,0.0,0.0
IN/OUT,0.2857,0.0,0.1429,0.0,0.5714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RS/TOP,0.4483,0.0345,0.0,0.0,0.0,0.1724,0.1724,0.0,0.1724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOTTOM/RS,0.4348,0.0,0.0,0.0,0.0,0.1522,0.1957,0.0,0.2174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL/ALL,0.6957,0.0,0.0,0.3043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BOTTOM/TOP,0.3548,0.0,0.0,0.0,0.0,0.0538,0.086,0.0,0.5054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOTHING/NOTHING,0.0339,0.0678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8814,0.0169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALL/NOTHING,0.0642,0.422,0.0,0.0826,0.0,0.0,0.0092,0.0,0.0,0.0,0.4128,0.0,0.0,0.0,0.0092,0.0,0.0,0.0
IN/RS,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOTHING/OUT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LEFT/RS,0.451,0.0,0.0,0.0196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2549,0.0,0.0,0.0784,0.1961
LEFT/NOTHING,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NOTHING/TOP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RIGHT/RS,0.4783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1304,0.0,0.0,0.1304,0.2609
LEFT/RIGHT,0.3835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0677,0.0,0.0,0.0526,0.4962
