Dyad,Round,Player,previous_absent_round,DLIndex,Similarity,Consistency,Joint,Size_visited
140-615,1,140-615PL1,,0.609375,0.7272727272727273,,9,44
140-615,1,140-615PL2,,0.609375,0.3611111111111111,,9,13
140-615,2,140-615PL1,1,0.625,0.671875,0.6730769230769231,7,43
140-615,2,140-615PL2,1,0.625,0.23684210526315788,0.3333333333333333,7,11
140-615,6,140-615PL1,2,0.640625,0.71875,0.5084745762711864,14,46
140-615,6,140-615PL2,2,0.640625,0.6388888888888888,0.25925925925925924,14,23
140-615,9,140-615PL1,6,0.828125,0.42424242424242425,0.2708333333333333,5,15
140-615,9,140-615PL2,6,0.828125,0.75,0.42,5,48
140-615,10,140-615PL1,9,0.421875,1.0,0.0,0,0
140-615,10,140-615PL2,9,0.421875,0.5,0.41509433962264153,0,27
140-615,11,140-615PL1,10,0.53125,1.0,1.0,0,0
140-615,11,140-615PL2,10,0.53125,0.53125,0.38636363636363635,0,34
140-615,12,140-615PL1,11,0.546875,1.0,1.0,0,0
140-615,12,140-615PL2,11,0.546875,0.575,0.40816326530612246,0,35
140-615,18,140-615PL1,12,0.671875,0.9655172413793104,0.0,10,29
140-615,18,140-615PL2,12,0.671875,0.5555555555555556,0.3269230769230769,10,34
140-615,20,140-615PL1,18,0.71875,1.0,0.9655172413793104,10,28
140-615,20,140-615PL2,18,0.71875,0.6086956521739131,0.46938775510204084,10,38
140-615,23,140-615PL1,20,0.5625,1.0,1.0,6,28
140-615,23,140-615PL2,20,0.5625,0.3333333333333333,0.3181818181818182,6,20
140-615,28,140-615PL1,23,0.5,1.0,1.0,7,28
140-615,28,140-615PL2,23,0.5,0.28125,0.22580645161290322,7,18
140-615,30,140-615PL1,28,0.625,1.0,1.0,6,28
140-615,30,140-615PL2,28,0.625,0.42857142857142855,0.13513513513513514,6,24
140-615,33,140-615PL1,30,0.53125,1.0,1.0,10,28
140-615,33,140-615PL2,30,0.53125,0.40625,0.3157894736842105,10,26
140-615,39,140-615PL1,33,0.546875,1.0,0.4375,29,64
140-615,39,140-615PL2,33,0.546875,0.4878048780487805,0.27906976744186046,29,29
140-615,40,140-615PL1,39,0.5,1.0,0.4375,18,28
140-615,40,140-615PL2,39,0.5,0.625,0.38,18,40
140-615,41,140-615PL1,40,0.4375,1.0,1.0,17,28
140-615,41,140-615PL2,40,0.4375,0.53125,0.37037037037037035,17,34
140-615,42,140-615PL1,41,0.609375,1.0,1.0,9,28
140-615,42,140-615PL2,41,0.609375,0.453125,0.3695652173913043,9,29
140-615,43,140-615PL1,42,0.609375,1.0,1.0,16,28
140-615,43,140-615PL2,42,0.609375,0.671875,0.4117647058823529,16,43
140-615,45,140-615PL1,43,0.6875,1.0,1.0,11,28
140-615,45,140-615PL2,43,0.6875,0.59375,0.4727272727272727,11,38
140-615,47,140-615PL1,45,0.984375,1.0,1.0,1,28
140-615,47,140-615PL2,45,0.984375,0.972972972972973,0.5625,1,37
140-615,49,140-615PL1,47,1.0,1.0,1.0,0,28
140-615,49,140-615PL2,47,1.0,1.0,0.972972972972973,0,36
140-615,50,140-615PL1,49,1.0,1.0,1.0,0,28
140-615,50,140-615PL2,49,1.0,1.0,1.0,0,36
140-615,51,140-615PL1,50,1.0,1.0,1.0,0,28
140-615,51,140-615PL2,50,1.0,1.0,1.0,0,36
140-615,52,140-615PL1,51,1.0,1.0,1.0,0,28
140-615,52,140-615PL2,51,1.0,1.0,1.0,0,36
140-615,56,140-615PL1,52,1.0,1.0,1.0,0,28
140-615,56,140-615PL2,52,1.0,1.0,1.0,0,36
140-615,57,140-615PL1,56,1.0,1.0,1.0,0,28
140-615,57,140-615PL2,56,1.0,1.0,1.0,0,36
140-615,59,140-615PL1,57,1.0,1.0,1.0,0,28
140-615,59,140-615PL2,57,1.0,1.0,1.0,0,36
142-263,2,142-263PL1,,0.5,0.390625,,23,25
142-263,2,142-263PL2,,0.5,0.828125,,23,53
142-263,3,142-263PL1,2,0.390625,0.4375,0.23255813953488372,19,28
142-263,3,142-263PL2,2,0.390625,0.546875,0.5172413793103449,19,35
142-263,4,142-263PL1,3,0.546875,0.53125,0.3191489361702128,21,34
142-263,4,142-263PL2,3,0.546875,0.671875,0.5,21,43
142-263,5,142-263PL1,4,0.578125,0.484375,0.4772727272727273,24,31
142-263,5,142-263PL2,4,0.578125,0.84375,0.6166666666666667,24,54
142-263,6,142-263PL1,5,0.5,0.234375,0.24324324324324326,7,15
142-263,6,142-263PL2,5,0.5,0.4888888888888889,0.4166666666666667,7,31
142-263,7,142-263PL1,6,0.5,0.359375,0.3103448275862069,14,23
142-263,7,142-263PL2,6,0.5,0.578125,0.44680851063829785,14,37
142-263,8,142-263PL1,7,0.4375,0.375,0.35294117647058826,9,23
142-263,8,142-263PL2,7,0.4375,0.359375,0.36363636363636365,9,23
142-263,12,142-263PL1,8,0.609375,0.453125,0.2682926829268293,17,29
142-263,12,142-263PL2,8,0.609375,0.6875,0.3137254901960784,17,44
142-263,13,142-263PL1,12,0.46875,0.36363636363636365,0.2777777777777778,11,17
142-263,13,142-263PL2,12,0.46875,0.546875,0.46296296296296297,11,35
142-263,14,142-263PL1,13,0.546875,0.265625,0.25925925925925924,4,17
142-263,14,142-263PL2,13,0.546875,0.40625,0.2978723404255319,4,26
142-263,16,142-263PL1,14,0.4375,0.375,0.3225806451612903,12,24
142-263,16,142-263PL2,14,0.4375,0.4375,0.3170731707317073,12,28
142-263,18,142-263PL1,16,0.53125,0.390625,0.2564102564102564,12,25
142-263,18,142-263PL2,16,0.53125,0.515625,0.2978723404255319,12,33
142-263,20,142-263PL1,18,0.4375,0.484375,0.3023255813953488,21,31
142-263,20,142-263PL2,18,0.4375,0.609375,0.5652173913043478,21,39
142-263,21,142-263PL1,20,0.5,0.34375,0.2926829268292683,10,22
142-263,21,142-263PL2,20,0.5,0.46875,0.5333333333333333,10,30
