Dyad,historical_rounds,historical_cutoff,reconstructed_rounds,reconstructed_cutoff
140-615,"1,9,10,11,39",39,"1,2,6,9,10",10
142-263,"2,3,4,5,6",6,"2,3,4,5,6",6
151-962,"2,8,9,18,19",19,"2,3,6,8,9",9
152-727,"17,21,28,29,32",32,"1,3,12,14,17",17
216-713,"9,12,20,28,45",45,"2,6,9,10,12",12
251-716,"2,5,9,19,25",25,"2,3,5,6,9",9
261-970,"6,9,12,28,29",29,"4,6,7,9,10",10
269-653,"4,9,10,11,34",34,"4,5,9,10,11",11
277-491,"1,12,17,18,21",21,"1,2,4,9,12",12
303-869,"7,13,28,32,36",36,"1,5,7,8,13",13
313-199,"4,14,15,16,25",25,"4,5,7,10,14",14
331-863,"2,3,11,12,15",15,"2,3,4,8,11",11
352-425,"2,3,6,10,11",11,"2,3,4,6,7",7
354-344,"5,6,9,15,32",32,"1,3,5,6,7",7
356-137,"13,18,19,33,37",37,"1,5,7,9,13",13
359-904,"4,5,13,18,31",31,"1,4,5,6,11",11
379-897,"10,11,12,13,20",20,"3,5,10,11,12",12
416-710,"2,3,6,7,21",21,"2,3,4,6,7",7
419-723,"8,11,12,18,19",19,"1,6,8,9,11",11
435-261,"1,5,6,10,14",14,"1,2,5,6,7",7
444-475,"3,4,5,6,13",13,"1,3,4,5,6",6
462-640,"1,4,5,6,14",14,"1,2,4,5,6",6
469-569,"1,4,8,14,17",17,"1,2,4,5,8",8
475-186,"15,16,19,20,32",32,"1,8,15,16,17",17
483-710,"1,2,5,6,7",7,"1,2,3,5,6",6
487-811,"1,2,3,12,13",13,"1,2,3,4,10",10
505-833,"3,12,20,21,29",29,"3,4,7,10,12",12
538-623,"1,8,12,15,16",16,"1,2,4,6,8",8
546-111,"7,11,15,16,20",20,"1,5,7,8,11",11
588-564,"9,13,16,36,37",37,"1,9,10,13,14",14
590-286,"4,7,14,19,23",23,"1,4,5,7,8",8
598-684,"18,21,34,38,39",39,"1,3,10,12,15",15
618-522,"15,26,27,28,29",29,"2,4,9,12,15",15
636-625,"1,4,12,15,19",19,"1,2,4,5,8",8
637-838,"2,5,6,7,13",13,"2,3,5,6,7",7
648-175,"2,3,4,5,6",6,"2,3,4,5,6",6
656-979,"1,9,16,17,31",31,"1,2,4,6,9",9
687-660,"18,23,26,34,43",43,"6,10,12,18,19",19
711-459,"1,4,9,12,36",36,"1,2,4,5,7",7
768-541,"20,28,29,30,31",31,"2,4,8,13,15",15
825-534,"3,4,13,14,20",20,"1,3,4,5,10",10
880-349,"2,3,4,5,10",10,"2,3,4,5,6",6
938-219,"5,6,7,8,9",9,"5,6,7,8,9",9
947-704,"2,3,7,8,12",12,"2,3,4,7,8",8
948-444,"14,18,19,24,25",25,"3,5,8,11,14",14
