Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Is_there_LEAD,Ac_Score,ScoreLEAD,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Similarity,Score_LAG1,Consistency_LEAD1,Joint_LAG1,Dif_consist_LAG1,RegionGo,Similarity_LAG1
140-615,1,140-615PL1,Absent,41857,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,12,0,0,0,0,0,0,0,0,0,0,0,11,44,0,5,0,4,0,3,42,43,0,0,0,39,40,0,41,18,36,37,2,38,13,21,20,19,35,14,34,30,33,22,1,23,15,32,31,6,7,26,25,24,16,17,29,28,27,8,9,10,23.0,9,Unicorn_Absent,-1,-1,Unicorn_Absent,23,25.0,44,,48,,0.609375,RS,0.7272727272727273,,0.6730769230769231,,,RS,
140-615,9,140-615PL1,Absent,28215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,12,0,0,0,16,17,15,0,0,0,9,7,6,10,11,4,3,2,27.0,5,Unicorn_Absent,-1,-1,Unicorn_Absent,40,32.0,15,0.2708333333333333,58,0.14916666666666667,0.828125,RS,0.42424242424242425,18.0,0.0,14.0,0.24921531701192717,NOTHING,0.7272727272727273
140-615,10,140-615PL1,Absent,15686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,72,32.0,0,0.0,27,0.41509433962264153,0.421875,NOTHING,1.0,27.0,1.0,5.0,0.14916666666666667,NOTHING,0.42424242424242425
140-615,11,140-615PL1,Absent,17704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,104,32.0,0,1.0,34,0.6136363636363636,0.53125,NOTHING,1.0,32.0,1.0,0.0,0.41509433962264153,NOTHING,1.0
140-615,39,140-615PL1,Absent,26626,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,37,75,74,76,39,79,41,83,35,72,71,73,77,78,82,43,33,69,68,70,12,80,81,44,31,10,67,65,66,51,50,45,29,63,64,9,7,52,49,46,28,61,62,6,54,53,14,48,26,59,58,60,5,55,56,3,24,25,20,23,15,17,57,2,3.0,29,Unicorn_Absent,-1,-1,Unicorn_Absent,361,14.0,64,0.4375,64,0.15843023255813954,0.546875,ALL,1.0,22.0,0.4375,10.0,0.6842105263157895,OUT,1.0
140-615,40,140-615PL1,Absent,17381,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,31,41,34,35,36,39,40,1,29,0,0,0,0,0,0,2,27,0,0,0,0,0,0,3,25,0,0,0,0,0,0,4,24,0,0,0,0,0,0,10,22,0,0,0,0,0,0,5,21,0,0,0,0,0,0,7,19,18,16,15,13,12,11,9,14.0,18,Unicorn_Absent,-1,-1,Unicorn_Absent,375,15.0,28,0.4375,50,0.057499999999999996,0.5,OUT,1.0,3.0,1.0,29.0,0.15843023255813954,OUT,1.0
140-615,41,140-615PL1,Absent,15264,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,42,41,39,38,36,35,33,2,0,0,0,0,0,0,31,4,0,0,0,0,0,0,32,6,0,0,0,0,0,0,28,7,0,0,0,0,0,0,26,9,0,0,0,0,0,0,25,10,0,0,0,0,0,0,24,11,12,13,15,19,17,20,22,15.0,17,Unicorn_Absent,-1,-1,Unicorn_Absent,390,23.0,28,1.0,45,0.6296296296296297,0.4375,OUT,1.0,14.0,1.0,18.0,0.057499999999999996,OUT,1.0
140-615,42,140-615PL1,Absent,20442,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,21,19,18,16,14,13,12,11,22,0,0,0,0,0,0,9,24,0,0,0,0,0,0,7,25,0,0,0,0,0,0,6,31,0,0,0,0,0,0,5,26,0,0,0,0,0,0,4,29,0,0,0,0,0,0,3,30,33,35,40,36,38,39,1,23.0,9,Unicorn_Absent,-1,-1,Unicorn_Absent,413,16.0,28,1.0,48,0.6304347826086957,0.609375,OUT,1.0,15.0,1.0,17.0,0.6296296296296297,OUT,1.0
140-615,49,140-615PL1,Absent,16284,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,42,41,40,38,37,36,33,4,0,0,0,0,0,0,32,7,0,0,0,0,0,0,34,8,0,0,0,0,0,0,29,10,0,0,0,0,0,0,27,12,0,0,0,0,0,0,25,11,0,0,0,0,0,0,23,14,15,16,18,20,19,21,22,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,389,32.0,28,1.0,64,0.027027027027026973,1.0,OUT,1.0,31.0,1.0,1.0,0.4375,OUT,1.0
140-615,50,140-615PL1,Absent,16876,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,43,42,41,44,39,45,37,3,0,0,0,0,0,0,35,6,0,0,0,0,0,0,34,8,0,0,0,0,0,0,33,10,0,0,0,0,0,0,31,12,0,0,0,0,0,0,30,13,0,0,0,0,0,0,28,14,16,17,18,20,23,22,25,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,421,32.0,28,1.0,64,0.0,1.0,OUT,1.0,32.0,1.0,0.0,0.027027027027026973,OUT,1.0
140-615,51,140-615PL1,Absent,15404,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,45,44,43,42,41,39,38,3,0,0,0,0,0,0,36,4,0,0,0,0,0,0,37,6,0,0,0,0,0,0,34,8,0,0,0,0,0,0,31,9,0,0,0,0,0,0,29,11,0,0,0,0,0,0,27,12,15,16,17,24,23,20,21,32.0,0,Unicorn_Absent,-1,-1,Unicorn_Absent,453,32.0,28,1.0,64,0.0,1.0,OUT,1.0,32.0,1.0,0.0,0.0,OUT,1.0
