Dyad,orientation_30_60,orientation_40_60,orientation_50_60,stable_orientation,external_label_40_60,agrees_with_external,mean_h_obs,h_obs_40_60,mean_soft_specialization,soft_specialization_40_60,mean_tie_count,tie_count_40_60,valid_windows,mean_jaccard,min_jaccard,jaccard_30-60_vs_40-60,jaccard_40-60_vs_50-60,jaccard_30-60_vs_50-60
140-615,MIXED,MIXED,MIXED,MIXED,MIXED,True,0.5151515151515151,0.5151515151515151,0.8181131588109115,0.801354401805869,0.0,0,3,1.0,1.0,1.0,1.0,1.0
142-263,MIXED,MIXED,MIXED,MIXED,MIXED,True,0.800606398618419,0.8058252427184466,0.31113029088318195,0.33098591549295775,11.666666666666666,10,3,0.7420634920634921,0.7142857142857143,0.7619047619047619,0.75,0.7142857142857143
151-962,MIXED,MIXED,TB,MIXED,MIXED,True,0.5019388935797605,0.5263157894736842,0.4129901960784314,0.39705882352941174,22.0,19,3,0.6067608044501497,0.6052631578947368,0.6097560975609756,0.6052631578947368,0.6052631578947368
152-727,TB,TB,TB,TB,MIXED,False,0.3533353948000475,0.14432989690721648,0.45929467193237716,0.29411764705882354,9.333333333333334,9,3,0.4213637388079579,0.14705882352941177,0.14705882352941177,0.9655172413793104,0.15151515151515152
216-713,TB,TB,MIXED,INVALID,MIXED,False,,,0.03492077991940968,0.02710027100271003,44.666666666666664,44,0,,,,,
251-716,TB,TB,TB,TB,TB,True,0.10476190476190476,0.10476190476190476,0.9958592132505176,1.0,0.0,0,3,1.0,1.0,1.0,1.0,1.0
261-970,MIXED,MIXED,MIXED,MIXED,MIXED,True,0.639344262295082,,0.5488983083209226,0.9844961240310077,30.333333333333332,0,1,,,,,
269-653,MIXED,MIXED,MIXED,MIXED,MIXED,True,0.8181818181818182,0.8181818181818182,0.484417128021041,0.46715328467153283,5.333333333333333,8,1,,,,,
277-491,TB,TB,TB,TB,TB,True,0.10476190476190476,0.10476190476190476,0.9941147118717213,0.9937694704049844,0.0,0,3,1.0,1.0,1.0,1.0,1.0
303-869,TB,TB,TB,TB,MIXED,False,0.225089923626509,0.17575757575757575,0.636316706385453,0.6428571428571429,10.0,7,3,0.6591942820012995,0.5263157894736842,0.7105263157894737,0.7407407407407407,0.5263157894736842
313-199,MIXED,MIXED,MIXED,MIXED,MIXED,True,0.6235294117647059,,1.0,,60.333333333333336,64,1,,,,,
331-863,TB,TB,TB,TB,TB,True,0.10476190476190476,0.10476190476190476,1.0,1.0,0.0,0,3,1.0,1.0,1.0,1.0,1.0
352-425,MIXED,MIXED,MIXED,INVALID,MIXED,False,,,1.0,1.0,0.0,0,0,,,,,
354-344,TB,TB,TB,TB,TB,True,0.10476190476190476,0.10476190476190476,0.8421982603043334,0.8236092265943012,0.6666666666666666,1,3,1.0,1.0,1.0,1.0,1.0
356-137,MIXED,MIXED,MIXED,INVALID,MIXED,False,,,0.9987004548408057,1.0,0.0,0,0,,,,,
359-904,MIXED,MIXED,MIXED,INVALID,MIXED,False,,,0.6543850847677791,0.7191011235955056,0.6666666666666666,0,0,,,,,
379-897,MIXED,MIXED,MIXED,INVALID,MIXED,False,,,0.5707762557077626,0.3561643835616438,23.0,21,0,,,,,
416-710,MIXED,MIXED,MIXED,INVALID,MIXED,False,,,1.0,1.0,0.0,0,0,,,,,
419-723,LR,LR,LR,LR,LR,True,0.10476190476190476,0.10476190476190476,0.994621640123564,0.9955456570155902,0.0,0,3,1.0,1.0,1.0,1.0,1.0
435-261,LR,LR,LR,LR,LR,True,0.10476190476190476,0.10476190476190476,1.0,1.0,0.0,0,3,1.0,1.0,1.0,1.0,1.0
444-475,LR,LR,LR,LR,MIXED,False,0.3049095607235142,0.22093023255813954,0.7281859070464768,0.7758620689655172,26.666666666666668,12,2,0.7272727272727273,0.7272727272727273,0.7272727272727273,,
462-640,MIXED,MIXED,MIXED,INVALID,MIXED,False,,,0.9987004548408057,1.0,0.0,0,0,,,,,
469-569,LR,LR,LR,LR,LR,True,0.10723964382500968,0.10476190476190476,0.9819815973648206,0.9844961240310077,0.3333333333333333,0,3,0.9791666666666666,0.96875,1.0,0.96875,0.96875
475-186,MIXED,TB,MIXED,INVALID,MIXED,False,,,0.9,1.0,55.666666666666664,62,0,,,,,
483-710,MIXED,MIXED,MIXED,INVALID,MIXED,False,,,0.5894105894105893,0.6515151515151515,6.333333333333333,6,0,,,,,
487-811,MIXED,MIXED,MIXED,INVALID,MIXED,False,,,0.5524678271238131,0.48344370860927155,0.0,0,0,,,,,
505-833,MIXED,MIXED,MIXED,MIXED,MIXED,True,0.7433862433862434,0.7407407407407407,0.4753191489361702,0.5106382978723404,33.666666666666664,26,2,0.34782608695652173,0.34782608695652173,0.34782608695652173,,
538-623,LR,LR,LR,LR,LR,True,0.12420632926236785,0.12690355329949238,0.7444098146332353,0.8429752066115702,1.6666666666666667,2,3,0.978494623655914,0.967741935483871,1.0,0.967741935483871,0.967741935483871
546-111,TB,TB,TB,TB,TB,True,0.10476190476190476,0.10476190476190476,1.0,1.0,0.0,0,3,1.0,1.0,1.0,1.0,1.0
588-564,TB,TB,TB,TB,MIXED,False,0.1270718232044199,0.1270718232044199,1.0,1.0,0.0,0,3,1.0,1.0,1.0,1.0,1.0
590-286,MIXED,MIXED,MIXED,INVALID,MIXED,False,,,0.5994317877316527,0.6058394160583942,1.3333333333333333,2,0,,,,,
598-684,MIXED,TB,MIXED,MIXED,MIXED,True,0.7018366817615777,0.5932203389830508,0.3760888252837021,0.40397350993377484,19.333333333333332,17,3,0.5485728108369617,0.4230769230769231,0.6226415094339622,0.6,0.4230769230769231
618-522,MIXED,MIXED,MIXED,MIXED,MIXED,True,0.5718683400426237,0.5339805825242718,0.3301307689853456,0.32673267326732675,14.0,16,2,0.6578947368421053,0.6578947368421053,,0.6578947368421053,
636-625,MIXED,MIXED,MIXED,MIXED,MIXED,True,0.7142857142857143,,0.3426246602108458,0.33826247689463956,7.666666666666667,5,1,,,,,
637-838,LR,LR,LR,LR,LR,True,0.10476190476190476,0.10476190476190476,1.0,1.0,0.0,0,3,1.0,1.0,1.0,1.0,1.0
648-175,LR,LR,LR,LR,LR,True,0.10476190476190476,0.10476190476190476,1.0,1.0,0.0,0,3,1.0,1.0,1.0,1.0,1.0
656-979,LR,LR,MIXED,LR,MIXED,False,0.11322751322751323,0.12169312169312169,0.8903418404256294,0.9176029962546817,22.333333333333332,0,2,0.9142857142857143,0.9142857142857143,0.9142857142857143,,
687-660,MIXED,MIXED,LR,MIXED,MIXED,True,0.8175047007715749,0.8867924528301887,0.46587305918122063,0.4696485623003195,8.0,6,3,0.8555114638447971,0.8,0.9629629629629629,0.8035714285714286,0.8
711-459,MIXED,MIXED,MIXED,MIXED,MIXED,True,0.804320987654321,0.8888888888888888,0.39277100356076994,0.38557993730407525,14.0,10,3,0.4514398644833428,0.34782608695652173,0.6428571428571429,0.36363636363636365,0.34782608695652173
768-541,TB,TB,TB,TB,TB,True,0.10476190476190476,0.10476190476190476,0.9519258402559774,0.9755102040816327,0.0,0,3,1.0,1.0,1.0,1.0,1.0
825-534,TB,TB,TB,TB,TB,True,0.10476190476190476,0.10476190476190476,0.993978494623656,1.0,0.0,0,3,1.0,1.0,1.0,1.0,1.0
880-349,MIXED,MIXED,MIXED,INVALID,MIXED,False,,,1.0,1.0,59.666666666666664,59,0,,,,,
938-219,MIXED,MIXED,MIXED,INVALID,MIXED,False,,,1.0,1.0,0.0,0,0,,,,,
947-704,LR,LR,LR,LR,LR,True,0.10476190476190476,0.10476190476190476,0.8356259744443869,0.8801498127340824,0.0,0,3,1.0,1.0,1.0,1.0,1.0
948-444,LR,LR,LR,LR,LR,True,0.10476190476190476,0.10476190476190476,1.0,1.0,0.0,0,3,1.0,1.0,1.0,1.0,1.0
