Dyad,window_start,window_end,partition_size,tie_count,low_margin_count,soft_specialization,h_obs,connected,valid_partition,orientation,corr_lr,corr_tb,dominant_score,score_ratio
140-615,30,60,28,0,0,0.6529850746268657,0.5151515151515151,True,True,MIXED,0.01589018840632324,-0.08678487514222684,0.08678487514222684,5.461538461194752
140-615,40,60,28,0,0,0.801354401805869,0.5151515151515151,True,True,MIXED,0.01639064221429369,-0.0613131430979134,0.0613131430979134,3.7407407405125146
140-615,50,60,28,0,0,1.0,0.5151515151515151,True,True,MIXED,0.0,0.0,0.0,0.0
142-263,30,60,19,14,28,0.24726477024070023,0.7592592592592593,False,True,MIXED,-0.16657696903812655,0.035806264372681404,0.16657696903812655,4.652173912913553
142-263,40,60,18,10,32,0.33098591549295775,0.8058252427184466,False,True,MIXED,-0.09449111825230681,0.09842824817948631,0.09842824817948631,1.0416666666556431
142-263,50,60,17,11,43,0.35514018691588783,0.8367346938775511,False,True,MIXED,-0.10206207261596577,0.08262167783197227,0.10206207261596577,1.2352941176321077
151-962,30,60,33,19,42,0.27941176470588236,0.5784313725490197,False,True,MIXED,0.190965315326174,0.1866251945233064,0.190965315326174,1.0232558139480055
151-962,40,60,33,19,55,0.39705882352941174,0.5263157894736842,False,True,MIXED,0.23145502494313788,0.038575837490523,0.23145502494313788,5.9999999998444595
151-962,50,60,28,28,64,0.5625,0.40106951871657753,False,True,TB,0.3000495990744895,0.45462060465831755,0.45462060465831755,1.5151515151464658
152-727,30,60,10,15,34,0.20141342756183744,0.7543859649122807,False,True,TB,-0.3597044832510932,0.47375712428192757,0.47375712428192757,1.3170731707280456
152-727,40,60,29,9,54,0.29411764705882354,0.14432989690721648,False,True,TB,0.026627685093627243,0.8254582379024443,0.8254582379024443,30.999999998835793
152-727,50,60,28,4,64,0.8823529411764706,0.16129032258064516,False,True,TB,0.02817180849095056,0.8662831110967294,0.8662831110967294,30.74999999890847
216-713,30,60,9,44,64,0.02710027100271003,,False,False,TB,0.19518001458970669,0.2805712709727033,0.2805712709727033,1.4374999999926346
216-713,40,60,9,44,64,0.02710027100271003,,False,False,TB,0.19518001458970669,0.2805712709727033,0.2805712709727033,1.4374999999926346
216-713,50,60,8,46,64,0.05056179775280899,,False,False,MIXED,0.15430334996209194,0.24431363743997891,0.24431363743997891,1.5833333333230721
251-716,30,60,32,0,0,0.9875776397515528,0.10476190476190476,True,True,TB,0.0,-0.8764516841403595,0.8764516841403595,876451684140.3595
251-716,40,60,32,0,0,1.0,0.10476190476190476,True,True,TB,0.0,-0.8728715609439697,0.8728715609439697,872871560943.9697
251-716,50,60,32,0,0,1.0,0.10476190476190476,True,True,TB,0.0,-0.8728715609439697,0.8728715609439697,872871560943.9697
261-970,30,60,16,27,57,0.11330049261083744,0.639344262295082,False,True,MIXED,0.1852396434087371,-0.0992355232546806,0.1852396434087371,1.866666666647856
261-970,40,60,0,0,1,0.9844961240310077,,False,False,MIXED,-0.0017149051519049774,0.0017149051519049704,0.0017149051519049774,0.9999999994168814
261-970,50,60,0,64,64,,,False,False,MIXED,0.0,0.0,0.0,0.0
269-653,30,60,60,4,8,0.434878587196468,,False,False,MIXED,0.009067569390746988,-0.009067569390747024,0.009067569390747024,0.9999999998897209
269-653,40,60,53,8,21,0.46715328467153283,0.8181818181818182,False,True,MIXED,0.10029891276567843,-0.11209878485575822,0.11209878485575822,1.117647058812386
269-653,50,60,55,4,25,0.551219512195122,,False,False,MIXED,0.11975701976307385,-0.10934336587063265,0.11975701976307385,1.0952380952280787
277-491,30,60,32,0,0,0.9948051948051948,0.10476190476190476,True,True,TB,0.003987460356296574,0.8743930924164625,0.8743930924164625,219.28571423072032
277-491,40,60,32,0,0,0.9937694704049844,0.10476190476190476,True,True,TB,0.0047869987693421046,0.8746530608555069,0.8746530608555069,182.71428567611673
277-491,50,60,32,0,0,0.9937694704049844,0.10476190476190476,True,True,TB,0.0047869987693421046,0.8746530608555069,0.8746530608555069,182.71428567611673
303-869,30,60,38,6,18,0.49560117302052786,0.28,True,True,TB,-0.10196191643203112,-0.5953260281999238,0.5953260281999238,5.838709677362092
