Dyad,late_rounds,late_rows,DLIndex_mean,Joint_mean,Similarity_mean,Consistency_mean,Size_visited_mean,late_category_mode,late_categories,player_count,partition_size,tie_count,included_primary,exclusion_reason,Type,h_obs,eta,baseline_status
140-615,7,14,0.7924107142857143,6.285714285714286,0.9006696428571429,0.8236006114810462,31.642857142857142,OUT,"IN,OUT,RS",2,28,0,True,incluida,MIXED,0.5151515151515151,0.25882352941176473,no_mejora_fiedler
142-263,4,8,0.53125,18.5,0.5546875,0.4281202459753258,35.5,RS,RS,2,18,10,True,incluida,MIXED,0.8058252427184466,0.16546184738955824,no_mejora_fiedler
151-962,2,4,0.546875,16.5,0.5983237044817927,0.39469782098886064,34.0,RS,RS,2,33,19,True,incluida,MIXED,0.5263157894736842,0.25333333333333335,no_mejora_fiedler
152-727,3,6,0.8489583333333334,9.666666666666666,0.8529676735559087,0.7011910121317388,36.833333333333336,RS,"RS,TOP",2,29,9,True,incluida,TB,0.14432989690721648,0.9238095238095239,no_mejora_fiedler
216-713,6,12,0.06770833333333333,59.333333333333336,0.9609375,0.953125,61.5,ALL,"ALL,RS",2,9,44,False,particion_muy_pequena,,,,
251-716,3,6,1.0,0.0,1.0,1.0,32.0,BOTTOM,"BOTTOM,TOP",2,32,0,True,incluida,TB,0.10476190476190476,1.2727272727272727,alcanza_axis
261-970,2,4,0.9921875,0.5,0.7578125,0.3515625,32.25,ALL,"ALL,NOTHING,RS",2,0,0,False,particion_muy_pequena,,,,
269-653,5,10,0.54375,10.0,0.5438882488479263,0.3945818071332532,27.4,RS,"ALL,NOTHING,RS",2,53,8,True,incluida,MIXED,0.8181818181818182,0.16296296296296295,no_mejora_fiedler
277-491,5,10,0.996875,0.2,0.9969696969696968,0.9939393939393939,32.1,BOTTOM,"BOTTOM,RS,TOP",2,32,0,True,incluida,TB,0.10476190476190476,1.2727272727272727,alcanza_axis
303-869,3,6,0.7916666666666666,7.333333333333333,0.6639884797588286,0.6130339065121674,32.666666666666664,RS,RS,2,27,7,True,incluida,TB,0.17575757575757575,0.7586206896551724,no_mejora_fiedler
313-199,2,4,0.0,0.0,1.0,1.0,0.0,NOTHING,NOTHING,2,0,64,False,particion_muy_pequena,,,,
331-863,4,8,1.0,0.0,1.0,0.9962121212121212,32.0,BOTTOM,"BOTTOM,TOP",2,32,0,True,incluida,TB,0.10476190476190476,1.2727272727272727,alcanza_axis
352-425,7,14,1.0,0.0,1.0,1.0,32.0,ALL,"ALL,NOTHING",2,64,0,False,particion_muy_grande,,,,
354-344,12,24,0.8606770833333334,3.1666666666666665,0.8262228689418704,0.7264511020433452,30.708333333333332,RS,"BOTTOM,RS,TOP",2,32,1,True,incluida,TB,0.10476190476190476,1.2727272727272727,alcanza_axis
356-137,5,10,1.0,0.0,1.0,1.0,32.0,ALL,"ALL,NOTHING",2,0,0,False,particion_muy_pequena,,,,
359-904,6,12,0.8020833333333334,4.0,0.4816256555686704,0.38134507275132273,29.666666666666668,RS,"ALL,RS",2,64,0,False,particion_muy_grande,,,,
379-897,3,6,0.4791666666666667,9.0,0.546875,0.20706346420632135,24.333333333333332,RS,"NOTHING,RS",2,9,21,False,particion_muy_pequena,,,,
416-710,3,6,1.0,0.0,1.0,0.9973958333333334,32.0,ALL,"ALL,NOTHING",2,64,0,False,particion_muy_grande,,,,
419-723,7,14,0.9977678571428571,0.14285714285714285,0.9978354978354977,0.9956709956709956,32.07142857142857,LEFT,"LEFT,RIGHT,RS",2,32,0,True,incluida,LR,0.10476190476190476,1.2727272727272727,alcanza_axis
435-261,4,8,1.0,0.0,1.0,1.0,32.0,LEFT,"LEFT,RIGHT",2,32,0,True,incluida,LR,0.10476190476190476,1.2727272727272727,alcanza_axis
444-475,3,6,0.5,3.3333333333333335,0.4800595238095238,0.343055935352447,19.333333333333332,RS,RS,2,28,12,True,incluida,LR,0.22093023255813954,0.6035087719298246,no_mejora_fiedler
462-640,5,10,1.0,0.0,1.0,1.0,32.0,ALL,"ALL,NOTHING",2,0,0,False,particion_muy_pequena,,,,
469-569,4,8,0.9921875,0.5,0.9924242424242424,0.9886363636363636,32.25,LEFT,"LEFT,RIGHT,RS",2,32,0,True,incluida,LR,0.10476190476190476,1.2727272727272727,alcanza_axis
475-186,7,14,0.004464285714285714,0.0,0.8622448979591837,0.7857142857142857,0.14285714285714285,NOTHING,"NOTHING,RS",2,0,62,False,particion_muy_pequena,,,,
483-710,2,4,0.6875,11.0,0.5545691287878788,0.444758064516129,33.0,RS,RS,2,58,6,False,particion_muy_grande,,,,
487-811,7,14,0.6517857142857143,22.285714285714285,0.8403229054779807,0.6503644457427352,43.142857142857146,ALL,"ALL,NOTHING,RS",2,64,0,False,particion_muy_grande,,,,
505-833,3,6,0.3958333333333333,3.0,0.28163804397357023,0.1718276087841305,15.666666666666666,RS,RS,2,16,26,True,incluida,MIXED,0.7407407407407407,0.18000000000000002,no_mejora_fiedler
538-623,7,14,0.9196428571428571,5.142857142857143,0.9235896152719462,0.9247084838720177,34.57142857142857,RS,"LEFT,RIGHT,RS",2,30,2,True,incluida,LR,0.12690355329949238,1.0506666666666666,mejora_fiedler_sin_alcanzar_axis
546-111,8,16,1.0,0.0,1.0,1.0,32.0,BOTTOM,"BOTTOM,TOP",2,32,0,True,incluida,TB,0.10476190476190476,1.2727272727272727,alcanza_axis
588-564,6,12,0.9895833333333334,0.0,0.8912037037037037,0.9814814814814815,31.666666666666668,RS,"RS,TOP",2,28,0,True,incluida,TB,0.1270718232044199,1.0492753623188404,mejora_fiedler_sin_alcanzar_axis
590-286,4,8,0.7265625,11.0,0.5384290540540541,0.4549245727739242,34.25,RS,"ALL,RS",2,62,2,False,particion_muy_grande,,,,
598-684,2,4,0.5546875,20.0,0.58984375,0.44926189437911057,37.75,RS,RS,2,38,17,True,incluida,TB,0.5932203389830508,0.22476190476190477,no_mejora_fiedler
618-522,4,8,0.4453125,11.0,0.41460020242914974,0.2419047760010846,25.25,RS,RS,2,35,16,True,incluida,MIXED,0.5339805825242718,0.2496969696969697,no_mejora_fiedler
636-625,6,12,0.5442708333333334,27.666666666666668,0.7044270833333334,0.5715377268326486,45.083333333333336,RS,"ALL,RS",2,55,5,False,particion_muy_grande,,,,
637-838,4,8,1.0,0.0,1.0,1.0,32.0,LEFT,"LEFT,RIGHT",2,32,0,True,incluida,LR,0.10476190476190476,1.2727272727272727,alcanza_axis
648-175,6,12,1.0,0.0,1.0,1.0,32.0,LEFT,"LEFT,RIGHT",2,32,0,True,incluida,LR,0.10476190476190476,1.2727272727272727,alcanza_axis
656-979,4,8,0.95703125,2.75,0.9390749007936507,0.9652809990365699,33.375,RS,"LEFT,RS",2,35,0,True,incluida,LR,0.12169312169312169,1.0956521739130436,mejora_fiedler_sin_alcanzar_axis
687-660,10,20,0.3828125,3.4,0.41251379074038697,0.14329850507456562,15.65,RS,"NOTHING,RS",2,54,6,True,incluida,MIXED,0.8867924528301887,0.150354609929078,no_mejora_fiedler
711-459,7,14,0.47544642857142855,7.571428571428571,0.39549830693667803,0.26688612388729294,22.785714285714285,RS,RS,2,11,10,True,incluida,MIXED,0.8888888888888888,0.15,no_mejora_fiedler
768-541,4,8,0.93359375,0.75,0.9341716800356505,0.8809185606060606,30.625,BOTTOM,"BOTTOM,RS,TOP",2,32,0,True,incluida,TB,0.10476190476190476,1.2727272727272727,alcanza_axis
825-534,6,12,1.0,0.0,1.0,1.0,32.0,BOTTOM,"BOTTOM,TOP",2,32,0,True,incluida,TB,0.10476190476190476,1.2727272727272727,alcanza_axis
