Dyad,Type,S_obs_size,tie_count,late_rounds,late_rows,h_obs,h_fiedler_naive,h_lr_baseline,h_tb_baseline,h_best_axis_baseline,eta,delta_vs_fiedler_naive,delta_vs_best_axis,baseline_status,connected_S,connected_Sbar,connected_both,corr_lr,corr_tb,dominant_score,score_ratio,MI,JSD,DLIndex_mean,Joint_mean,Similarity_mean,Consistency_mean,Size_visited_mean,late_category_mode,late_categories
419-723,LR,32,0,7,14,0.10476190476190476,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.10476190476190476,1.2727272727272727,-0.028571428571428567,0.0,alcanza_axis,True,True,True,-0.874198303555831,0.0034167437883254118,0.874198303555831,255.8571427822597,0.9903115320455281,0.9903232818667363,0.9977678571428571,0.14285714285714285,0.9978354978354977,0.9956709956709956,32.07142857142857,LEFT,"LEFT,RIGHT,RS"
435-261,LR,32,0,4,8,0.10476190476190476,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.10476190476190476,1.2727272727272727,-0.028571428571428567,0.0,alcanza_axis,True,True,True,0.8728715609439694,0.0,0.8728715609439694,872871560943.9695,1.0,1.0,1.0,0.0,1.0,1.0,32.0,LEFT,"LEFT,RIGHT"
469-569,LR,32,0,4,8,0.10476190476190476,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.10476190476190476,1.2727272727272727,-0.028571428571428567,0.0,alcanza_axis,True,True,True,-0.8771837436546652,0.010299613428430516,0.8771837436546652,85.1666666583977,0.9719749428551421,0.9720798353909591,0.9921875,0.5,0.9924242424242424,0.9886363636363636,32.25,LEFT,"LEFT,RIGHT,RS"
637-838,LR,32,0,4,8,0.10476190476190476,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.10476190476190476,1.2727272727272727,-0.028571428571428567,0.0,alcanza_axis,True,True,True,-0.8728715609439694,0.0,0.8728715609439694,872871560943.9695,1.0,1.0,1.0,0.0,1.0,1.0,32.0,LEFT,"LEFT,RIGHT"
648-175,LR,32,0,6,12,0.10476190476190476,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.10476190476190476,1.2727272727272727,-0.028571428571428567,0.0,alcanza_axis,True,True,True,0.8728715609439694,0.0,0.8728715609439694,872871560943.9695,1.0,1.0,1.0,0.0,1.0,1.0,32.0,LEFT,"LEFT,RIGHT"
947-704,LR,32,0,4,8,0.10476190476190476,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.10476190476190476,1.2727272727272727,-0.028571428571428567,0.0,alcanza_axis,True,True,True,-0.8881523647402256,0.01916875607353005,0.8881523647402256,46.33333333091621,0.8033145583932662,0.804357937675855,0.94921875,3.0,0.9317538485400753,0.8795518207282913,33.375,LEFT,"LEFT,RIGHT,RS"
948-444,LR,32,0,2,4,0.10476190476190476,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.10476190476190476,1.2727272727272727,-0.028571428571428567,0.0,alcanza_axis,True,True,True,-0.8728715609439694,0.0,0.8728715609439694,872871560943.9695,1.0,1.0,1.0,0.0,1.0,1.0,32.0,LEFT,"LEFT,RIGHT"
656-979,LR,35,0,4,8,0.12169312169312169,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.10476190476190476,1.0956521739130436,-0.011640211640211645,0.016931216931216922,mejora_fiedler_sin_alcanzar_axis,True,True,True,0.8833170210735917,-0.06754261233631237,0.8833170210735917,13.077922077728452,0.8989480200266093,0.9016445221138774,0.95703125,2.75,0.9390749007936507,0.9652809990365699,33.375,RS,"LEFT,RS"
538-623,LR,30,2,7,14,0.12690355329949238,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.10476190476190476,1.0506666666666666,-0.006429780033840954,0.022141648537587613,mejora_fiedler_sin_alcanzar_axis,True,True,True,0.9067098773061001,-0.047612619127945885,0.9067098773061001,19.043478260469602,0.7967509192771152,0.7999880996226233,0.9196428571428571,5.142857142857143,0.9235896152719462,0.9247084838720177,34.57142857142857,RS,"LEFT,RIGHT,RS"
444-475,LR,28,12,3,6,0.22093023255813954,0.13333333333333333,0.10476190476190476,0.10476190476190476,0.10476190476190476,0.6035087719298246,0.08759689922480621,0.11616832779623477,no_mejora_fiedler,True,True,True,0.7966377704517336,0.10514001031342675,0.7966377704517336,7.5769230768510125,0.7076153455414456,0.7121939807369717,0.5,3.3333333333333335,0.4800595238095238,0.343055935352447,19.333333333333332,RS,RS
