Dyad,Round,h_obs,partition_size,cut_edges,Type
140-615,1,0.2727272727272727,35,54.0,MIXED
140-615,9,0.2909090909090909,18,32.0,MIXED
140-615,10,0.38461538461538464,14,30.0,MIXED
140-615,11,0.41935483870967744,12,26.0,MIXED
140-615,39,0.5268817204301075,17,49.0,MIXED
140-615,40,0.5333333333333333,17,48.0,MIXED
140-615,41,0.5402298850574713,17,47.0,MIXED
140-615,42,0.5757575757575758,20,57.0,MIXED
140-615,49,0.5596330275229358,23,61.0,MIXED
140-615,50,0.5614035087719298,24,64.0,MIXED
140-615,51,0.5151515151515151,28,68.0,MIXED
140-615,56,0.5151515151515151,28,68.0,MIXED
142-263,2,,2,,MIXED
142-263,3,,4,,MIXED
142-263,4,0.8529411764705882,10,58.0,MIXED
142-263,5,0.9016393442622951,9,55.0,MIXED
142-263,6,0.90625,10,58.0,MIXED
142-263,7,1.0,5,30.0,MIXED
142-263,12,0.9166666666666666,8,44.0,MIXED
142-263,13,0.9310344827586207,6,27.0,MIXED
142-263,20,1.0,5,22.0,MIXED
142-263,26,1.0,6,25.0,MIXED
142-263,27,0.813953488372093,9,35.0,MIXED
142-263,28,0.8947368421052632,8,34.0,MIXED
142-263,29,0.813953488372093,9,35.0,MIXED
142-263,30,0.8620689655172413,12,50.0,MIXED
142-263,37,0.9016393442622951,12,55.0,MIXED
142-263,38,0.8360655737704918,12,51.0,MIXED
142-263,44,0.896551724137931,12,52.0,MIXED
142-263,57,0.875,10,42.0,MIXED
142-263,58,0.8873239436619719,14,63.0,MIXED
142-263,59,0.8529411764705882,14,58.0,MIXED
151-962,2,0.9272727272727272,8,51.0,MIXED
151-962,8,0.7831325301204819,13,65.0,MIXED
151-962,9,0.7043478260869566,19,81.0,MIXED
151-962,18,0.5950920245398773,26,97.0,MIXED
151-962,19,0.6385542168674698,26,106.0,MIXED
151-962,22,0.5487179487179488,30,107.0,MIXED
151-962,26,0.5978260869565217,29,110.0,MIXED
151-962,27,0.4708994708994709,30,89.0,MIXED
151-962,30,0.5,34,104.0,MIXED
151-962,31,0.49523809523809526,33,104.0,MIXED
151-962,45,0.5458937198067633,33,113.0,MIXED
151-962,54,0.5722543352601156,38,99.0,MIXED
152-727,17,0.23529411764705882,16,24.0,MIXED
152-727,21,,62,,MIXED
152-727,28,,63,,MIXED
152-727,29,,63,,MIXED
152-727,32,,62,,MIXED
152-727,33,0.9117647058823529,54,62.0,MIXED
152-727,34,0.4461538461538462,21,58.0,MIXED
152-727,35,0.49714285714285716,28,87.0,MIXED
152-727,36,0.44680851063829785,31,84.0,MIXED
152-727,45,0.41836734693877553,31,82.0,MIXED
152-727,49,0.5057471264367817,39,88.0,MIXED
152-727,56,0.1875,36,36.0,MIXED
216-713,9,0.6,5,24.0,MIXED
216-713,12,0.6,5,24.0,MIXED
216-713,20,0.5365853658536586,11,44.0,MIXED
216-713,28,0.3333333333333333,25,55.0,MIXED
216-713,45,0.3333333333333333,25,55.0,MIXED
216-713,48,0.3333333333333333,25,55.0,MIXED
216-713,49,0.3333333333333333,25,55.0,MIXED
216-713,52,0.3333333333333333,25,55.0,MIXED
